GapDH_R1,GapDH_R2,GapDH_R3,Rps9_R1,Rps9_R2,Rps9_R3
0.74,42.01,129.11,0.82,0.09,41.12
0.39,0.26,0.01,0.42,0.00,0.00
0.46,34.88,0.21,0.50,0.07,0.07
0.14,1.46,1.40,0.15,0.00,0.45
0.15,0.10,0.03,0.17,0.00,0.01
3.27,0.10,0.01,3.60,0.00,0.00
