GapDH_R1,GapDH_R2,GapDH_R3,Rps9_R1,Rps9_R2,Rps9_R3
3.72,0.59,0.82,4.04,0.58,0.94
22.47,0.89,5.40,24.42,0.87,6.19
1.34,2.31,0.81,1.45,2.27,0.93
2.08,1.32,0.71,2.27,1.29,0.81
31.41,4.73,0.26,34.14,4.64,0.29
18.90,8.02,0.36,20.53,7.85,0.41
