GapDH_R1,GapDH_R2,GapDH_R3,Rps9_R1,Rps9_R2,Rps9_R3
3.50,49.75,0.34,1.19,10.56,0.35
8.74,5.01,0.42,2.97,1.06,0.44
1.77,22.12,0.47,0.60,4.69,18.14
1.07,6.96,0.47,0.36,1.48,0.49
6.39,71.00,17.14,2.17,15.06,1.19
29.75,4.05,0.00,10.10,0.86,0.00
